"Checking x connections in graph with 50 nodes, 50 edges",runtime[ms],ms / x
100000,25,0.00025
109000,23,0.0002110091743119266
118000,26,0.00022033898305084745
127000,38,0.00029921259842519685
136000,28,0.00020588235294117648
145000,29,0.0002
154000,30,0.0001948051948051948
163000,36,0.00022085889570552146
172000,39,0.00022674418604651163
181000,52,0.000287292817679558
190000,39,0.00020526315789473685
199000,42,0.00021105527638190955
208000,43,0.00020673076923076922
217000,44,0.00020276497695852533
226000,50,0.00022123893805309734
235000,45,0.00019148936170212765
244000,55,0.00022540983606557377
253000,59,0.00023320158102766797
262000,58,0.00022137404580152673
271000,77,0.0002841328413284133
280000,61,0.00021785714285714285
289000,63,0.0002179930795847751
298000,64,0.00021476510067114095
307000,64,0.00020846905537459282
316000,86,0.00027215189873417724
325000,67,0.00020615384615384614
334000,68,0.0002035928143712575
343000,70,0.00020408163265306123
352000,73,0.00020738636363636364
361000,83,0.0002299168975069252
370000,102,0.0002756756756756757
379000,90,0.000237467018469657
388000,85,0.0002190721649484536
397000,88,0.0002216624685138539
406000,115,0.0002832512315270936
415000,89,0.0002144578313253012
424000,91,0.00021462264150943396
433000,91,0.00021016166281755195
442000,104,0.00023529411764705883
451000,94,0.00020842572062084258
460000,97,0.0002108695652173913
469000,97,0.0002068230277185501
478000,118,0.0002468619246861925
487000,99,0.00020328542094455852
496000,107,0.0002157258064516129
505000,101,0.0002
514000,105,0.00020428015564202335
523000,150,0.0002868068833652008
532000,105,0.00019736842105263157
541000,122,0.0002255083179297597
550000,123,0.00022363636363636363
559000,159,0.0002844364937388193
568000,125,0.00022007042253521127
577000,126,0.00021837088388214904
586000,127,0.0002167235494880546
595000,164,0.00027563025210084033
604000,129,0.00021357615894039735
613000,132,0.00021533442088091353
622000,136,0.00021864951768488746
631000,130,0.00020602218700475436
640000,136,0.0002125
649000,138,0.00021263482280431433
658000,140,0.0002127659574468085
667000,177,0.0002653673163418291
676000,142,0.00021005917159763315
685000,144,0.0002102189781021898
694000,205,0.00029538904899135444
703000,143,0.00020341394025604552
712000,148,0.00020786516853932584
721000,149,0.00020665742024965326
730000,211,0.000289041095890411
739000,147,0.00019891745602165087
748000,150,0.00020053475935828877
757000,151,0.00019947159841479526
766000,189,0.0002467362924281984
775000,154,0.00019870967741935483
784000,162,0.00020663265306122448
793000,170,0.00021437578814627995
802000,157,0.00019576059850374064
811000,186,0.00022934648581997535
820000,187,0.00022804878048780487
829000,186,0.0002243667068757539
838000,188,0.0002243436754176611
847000,184,0.00021723730814639906
856000,191,0.00022313084112149533
865000,251,0.00029017341040462425
874000,192,0.00021967963386727689
883000,201,0.0002276330690826727
892000,220,0.0002466367713004484
901000,193,0.00021420643729189788
910000,197,0.00021648351648351647
919000,267,0.00029053318824809576
928000,199,0.0002144396551724138
937000,202,0.00021558164354322306
946000,264,0.00027906976744186045
955000,199,0.00020837696335078535
964000,214,0.00022199170124481327
973000,234,0.00024049331963001027
982000,200,0.00020366598778004074
991000,208,0.00020988900100908173
1000000,267,0.000267
